ItemSet:{ { 2, 3, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 1 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 1 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 1 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 5 }, { 9 }} 	 Confidance : 0
