ItemSet:{ { 5 } ==> { 4 }} 	 Confidance : 100
ItemSet:{ { 4 } ==> { 6 }} 	 Confidance : 60
ItemSet:{ { 5 } ==> { 1 }} 	 Confidance : 50
ItemSet:{ { 5 } ==> { 3 }} 	 Confidance : 50
ItemSet:{ { 5 } ==> { 6 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 1 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 2 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 5 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 6 }} 	 Confidance : 50
ItemSet:{ { 0 } ==> { 9 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 1 }} 	 Confidance : 50
ItemSet:{ { 3 } ==> { 7 }} 	 Confidance : 50
ItemSet:{ { 4 } ==> { 0 }} 	 Confidance : 40
ItemSet:{ { 4 } ==> { 3 }} 	 Confidance : 40
ItemSet:{ { 1 } ==> { 0 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 0 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 0 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 2 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 1 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 3 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 8 }} 	 Confidance : 33.33
ItemSet:{ { 1 } ==> { 9 }} 	 Confidance : 33.33
ItemSet:{ { 2 } ==> { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 7 }} 	 Confidance : 33.33
ItemSet:{ { 6 } ==> { 9 }} 	 Confidance : 33.33
ItemSet:{ { 5 } ==> { 0 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 7 }} 	 Confidance : 25
ItemSet:{ { 5 } ==> { 8 }} 	 Confidance : 25
ItemSet:{ { 4 } ==> { 7 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 8 }} 	 Confidance : 20
ItemSet:{ { 4 } ==> { 9 }} 	 Confidance : 20
ItemSet:{ { 0 } ==> { 3 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 2 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 2 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 3 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 3 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 5 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 6 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 7 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 8 }} 	 Confidance : 0
