ItemSet:{ 2, 3, 4, 5} 	 Values : 2
ItemSet:{ 0, 2, 6, 7} 	 Values : 0
ItemSet:{ 0, 2, 6, 8} 	 Values : 0
ItemSet:{ 0, 2, 6, 9} 	 Values : 0
ItemSet:{ 0, 2, 7, 8} 	 Values : 0
ItemSet:{ 0, 2, 7, 9} 	 Values : 0
ItemSet:{ 0, 2, 8, 9} 	 Values : 0
ItemSet:{ 0, 3, 4, 5} 	 Values : 0
ItemSet:{ 0, 3, 4, 6} 	 Values : 0
ItemSet:{ 0, 3, 4, 7} 	 Values : 0
ItemSet:{ 0, 3, 4, 8} 	 Values : 0
ItemSet:{ 0, 3, 4, 9} 	 Values : 0
ItemSet:{ 0, 3, 5, 6} 	 Values : 0
ItemSet:{ 0, 3, 5, 7} 	 Values : 0
ItemSet:{ 0, 3, 5, 8} 	 Values : 0
ItemSet:{ 0, 3, 5, 9} 	 Values : 0
ItemSet:{ 0, 3, 6, 7} 	 Values : 0
ItemSet:{ 0, 3, 6, 8} 	 Values : 0
ItemSet:{ 0, 3, 6, 9} 	 Values : 0
ItemSet:{ 0, 3, 7, 8} 	 Values : 0
ItemSet:{ 0, 3, 7, 9} 	 Values : 0
ItemSet:{ 0, 3, 8, 9} 	 Values : 0
ItemSet:{ 0, 4, 5, 6} 	 Values : 0
ItemSet:{ 0, 4, 5, 7} 	 Values : 0
ItemSet:{ 0, 4, 5, 8} 	 Values : 0
ItemSet:{ 0, 4, 5, 9} 	 Values : 0
ItemSet:{ 0, 4, 6, 7} 	 Values : 0
ItemSet:{ 0, 4, 6, 8} 	 Values : 0
ItemSet:{ 0, 4, 7, 8} 	 Values : 0
ItemSet:{ 0, 4, 7, 9} 	 Values : 0
ItemSet:{ 0, 4, 8, 9} 	 Values : 0
ItemSet:{ 0, 5, 6, 7} 	 Values : 0
ItemSet:{ 0, 5, 6, 8} 	 Values : 0
ItemSet:{ 0, 5, 6, 9} 	 Values : 0
ItemSet:{ 0, 5, 7, 8} 	 Values : 0
ItemSet:{ 0, 5, 7, 9} 	 Values : 0
ItemSet:{ 0, 5, 8, 9} 	 Values : 0
ItemSet:{ 0, 6, 7, 8} 	 Values : 0
ItemSet:{ 0, 6, 7, 9} 	 Values : 0
ItemSet:{ 0, 6, 8, 9} 	 Values : 0
ItemSet:{ 0, 7, 8, 9} 	 Values : 0
ItemSet:{ 1, 2, 3, 7} 	 Values : 0
ItemSet:{ 1, 2, 3, 8} 	 Values : 0
ItemSet:{ 1, 2, 3, 9} 	 Values : 0
ItemSet:{ 1, 2, 4, 7} 	 Values : 0
ItemSet:{ 1, 2, 4, 8} 	 Values : 0
ItemSet:{ 1, 2, 4, 9} 	 Values : 0
ItemSet:{ 1, 2, 5, 7} 	 Values : 0
ItemSet:{ 1, 2, 5, 8} 	 Values : 0
ItemSet:{ 1, 2, 5, 9} 	 Values : 0
ItemSet:{ 1, 2, 6, 7} 	 Values : 0
ItemSet:{ 1, 2, 6, 8} 	 Values : 0
ItemSet:{ 1, 2, 6, 9} 	 Values : 0
ItemSet:{ 1, 2, 7, 8} 	 Values : 0
ItemSet:{ 1, 2, 7, 9} 	 Values : 0
ItemSet:{ 1, 2, 8, 9} 	 Values : 0
ItemSet:{ 1, 3, 4, 7} 	 Values : 0
ItemSet:{ 1, 3, 4, 8} 	 Values : 0
ItemSet:{ 1, 3, 4, 9} 	 Values : 0
ItemSet:{ 1, 3, 5, 7} 	 Values : 0
ItemSet:{ 1, 3, 5, 8} 	 Values : 0
ItemSet:{ 1, 3, 5, 9} 	 Values : 0
ItemSet:{ 1, 3, 6, 7} 	 Values : 0
ItemSet:{ 1, 3, 6, 8} 	 Values : 0
ItemSet:{ 1, 3, 6, 9} 	 Values : 0
ItemSet:{ 1, 3, 7, 8} 	 Values : 0
ItemSet:{ 1, 3, 7, 9} 	 Values : 0
ItemSet:{ 1, 3, 8, 9} 	 Values : 0
ItemSet:{ 1, 4, 5, 7} 	 Values : 0
ItemSet:{ 1, 4, 5, 9} 	 Values : 0
ItemSet:{ 1, 4, 6, 7} 	 Values : 0
ItemSet:{ 1, 4, 6, 8} 	 Values : 0
ItemSet:{ 1, 4, 7, 8} 	 Values : 0
ItemSet:{ 1, 4, 7, 9} 	 Values : 0
ItemSet:{ 1, 4, 8, 9} 	 Values : 0
ItemSet:{ 1, 5, 6, 7} 	 Values : 0
ItemSet:{ 1, 5, 6, 8} 	 Values : 0
ItemSet:{ 1, 5, 6, 9} 	 Values : 0
ItemSet:{ 1, 5, 7, 8} 	 Values : 0
ItemSet:{ 1, 5, 7, 9} 	 Values : 0
ItemSet:{ 1, 5, 8, 9} 	 Values : 0
ItemSet:{ 1, 6, 7, 8} 	 Values : 0
ItemSet:{ 1, 6, 7, 9} 	 Values : 0
ItemSet:{ 1, 6, 8, 9} 	 Values : 0
ItemSet:{ 1, 7, 8, 9} 	 Values : 0
ItemSet:{ 2, 3, 4, 8} 	 Values : 0
ItemSet:{ 2, 3, 4, 9} 	 Values : 0
ItemSet:{ 2, 3, 5, 8} 	 Values : 0
ItemSet:{ 2, 3, 5, 9} 	 Values : 0
ItemSet:{ 2, 3, 6, 8} 	 Values : 0
ItemSet:{ 2, 3, 6, 9} 	 Values : 0
ItemSet:{ 2, 3, 7, 8} 	 Values : 0
ItemSet:{ 2, 3, 7, 9} 	 Values : 0
ItemSet:{ 2, 3, 8, 9} 	 Values : 0
ItemSet:{ 2, 4, 5, 8} 	 Values : 0
ItemSet:{ 2, 4, 5, 9} 	 Values : 0
ItemSet:{ 2, 4, 6, 8} 	 Values : 0
ItemSet:{ 2, 4, 6, 9} 	 Values : 0
ItemSet:{ 2, 4, 7, 8} 	 Values : 0
ItemSet:{ 2, 4, 7, 9} 	 Values : 0
ItemSet:{ 2, 4, 8, 9} 	 Values : 0
ItemSet:{ 2, 5, 6, 8} 	 Values : 0
ItemSet:{ 2, 5, 6, 9} 	 Values : 0
ItemSet:{ 2, 5, 7, 8} 	 Values : 0
ItemSet:{ 2, 5, 7, 9} 	 Values : 0
ItemSet:{ 2, 5, 8, 9} 	 Values : 0
ItemSet:{ 2, 6, 7, 8} 	 Values : 0
ItemSet:{ 2, 6, 7, 9} 	 Values : 0
ItemSet:{ 2, 6, 8, 9} 	 Values : 0
ItemSet:{ 2, 7, 8, 9} 	 Values : 0
ItemSet:{ 3, 4, 5, 8} 	 Values : 0
ItemSet:{ 3, 4, 5, 9} 	 Values : 0
ItemSet:{ 3, 4, 6, 8} 	 Values : 0
ItemSet:{ 3, 4, 6, 9} 	 Values : 0
ItemSet:{ 3, 4, 7, 8} 	 Values : 0
ItemSet:{ 3, 4, 7, 9} 	 Values : 0
ItemSet:{ 3, 4, 8, 9} 	 Values : 0
ItemSet:{ 3, 5, 6, 8} 	 Values : 0
ItemSet:{ 3, 5, 6, 9} 	 Values : 0
ItemSet:{ 3, 5, 7, 8} 	 Values : 0
ItemSet:{ 3, 5, 7, 9} 	 Values : 0
ItemSet:{ 3, 5, 8, 9} 	 Values : 0
ItemSet:{ 3, 6, 7, 8} 	 Values : 0
ItemSet:{ 3, 6, 7, 9} 	 Values : 0
ItemSet:{ 3, 6, 8, 9} 	 Values : 0
ItemSet:{ 3, 7, 8, 9} 	 Values : 0
ItemSet:{ 4, 5, 6, 8} 	 Values : 0
ItemSet:{ 4, 5, 6, 9} 	 Values : 0
ItemSet:{ 4, 5, 7, 8} 	 Values : 0
ItemSet:{ 4, 5, 7, 9} 	 Values : 0
ItemSet:{ 4, 5, 8, 9} 	 Values : 0
ItemSet:{ 4, 6, 7, 8} 	 Values : 0
ItemSet:{ 4, 6, 7, 9} 	 Values : 0
ItemSet:{ 4, 6, 8, 9} 	 Values : 0
ItemSet:{ 4, 7, 8, 9} 	 Values : 0
ItemSet:{ 5, 6, 7, 8} 	 Values : 0
ItemSet:{ 5, 6, 7, 9} 	 Values : 0
ItemSet:{ 5, 6, 8, 9} 	 Values : 0
ItemSet:{ 5, 7, 8, 9} 	 Values : 0
ItemSet:{ 6, 7, 8, 9} 	 Values : 0
